,precision,recall,f1-score,support
Among Us,0.9866666666666667,0.9866666666666667,0.9866666666666668,150.0
Apex Legends,0.972972972972973,0.96,0.9664429530201343,150.0
Fortnite,0.9861111111111112,0.9466666666666667,0.9659863945578231,150.0
Forza Horizon,0.9673202614379085,0.9866666666666667,0.9768976897689768,150.0
Free Fire,0.9865771812080537,0.98,0.9832775919732442,150.0
Genshin Impact,0.9433962264150944,1.0,0.970873786407767,150.0
God of War,1.0,1.0,1.0,150.0
Minecraft,1.0,0.9933333333333333,0.9966555183946488,150.0
Roblox,0.9798657718120806,0.9733333333333334,0.9765886287625419,150.0
Terraria,1.0,0.9933333333333333,0.9966555183946488,150.0
accuracy,0.982,0.982,0.982,0.982
macro avg,0.9822910191623888,0.982,0.982004474794645,1500.0
weighted avg,0.9822910191623887,0.982,0.9820044747946453,1500.0
