image_path,label,class_name
data\gameplay-images\Roblox\image_506.png,8,Roblox
data\gameplay-images\Fortnite\image_281.png,2,Fortnite
data\gameplay-images\Among Us\image_837.png,0,Among Us
data\gameplay-images\Genshin Impact\image_941.png,5,Genshin Impact
data\gameplay-images\Among Us\image_136.png,0,Among Us
data\gameplay-images\Fortnite\image_504.png,2,Fortnite
data\gameplay-images\Terraria\image_864.png,9,Terraria
data\gameplay-images\Genshin Impact\image_542.png,5,Genshin Impact
data\gameplay-images\Among Us\image_378.png,0,Among Us
data\gameplay-images\God of War\image_405.png,6,God of War
data\gameplay-images\Free Fire\image_285.png,4,Free Fire
data\gameplay-images\Apex Legends\image_185.png,1,Apex Legends
data\gameplay-images\Terraria\image_356.png,9,Terraria
data\gameplay-images\Fortnite\image_85.png,2,Fortnite
data\gameplay-images\God of War\image_788.png,6,God of War
data\gameplay-images\Fortnite\image_210.png,2,Fortnite
data\gameplay-images\God of War\image_642.png,6,God of War
data\gameplay-images\Among Us\image_740.png,0,Among Us
data\gameplay-images\Free Fire\image_615.png,4,Free Fire
data\gameplay-images\Roblox\image_992.png,8,Roblox
data\gameplay-images\Roblox\image_14.png,8,Roblox
data\gameplay-images\Among Us\image_905.png,0,Among Us
data\gameplay-images\Roblox\image_604.png,8,Roblox
data\gameplay-images\Roblox\image_583.png,8,Roblox
data\gameplay-images\Minecraft\image_222.png,7,Minecraft
data\gameplay-images\God of War\image_871.png,6,God of War
data\gameplay-images\Forza Horizon\image_310.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_1000.png,7,Minecraft
data\gameplay-images\Roblox\image_771.png,8,Roblox
data\gameplay-images\Terraria\image_770.png,9,Terraria
data\gameplay-images\Terraria\image_476.png,9,Terraria
data\gameplay-images\Free Fire\image_834.png,4,Free Fire
data\gameplay-images\Free Fire\image_352.png,4,Free Fire
data\gameplay-images\Terraria\image_677.png,9,Terraria
data\gameplay-images\Apex Legends\image_717.png,1,Apex Legends
data\gameplay-images\Roblox\image_309.png,8,Roblox
data\gameplay-images\Forza Horizon\image_142.png,3,Forza Horizon
data\gameplay-images\Terraria\image_312.png,9,Terraria
data\gameplay-images\Roblox\image_342.png,8,Roblox
data\gameplay-images\Genshin Impact\image_799.png,5,Genshin Impact
data\gameplay-images\Roblox\image_523.png,8,Roblox
data\gameplay-images\Roblox\image_504.png,8,Roblox
data\gameplay-images\Terraria\image_733.png,9,Terraria
data\gameplay-images\Among Us\image_58.png,0,Among Us
data\gameplay-images\Genshin Impact\image_361.png,5,Genshin Impact
data\gameplay-images\Among Us\image_21.png,0,Among Us
data\gameplay-images\Minecraft\image_1013.png,7,Minecraft
data\gameplay-images\Among Us\image_562.png,0,Among Us
data\gameplay-images\Fortnite\image_469.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_157.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_919.png,7,Minecraft
data\gameplay-images\Roblox\image_732.png,8,Roblox
data\gameplay-images\Terraria\image_556.png,9,Terraria
data\gameplay-images\Roblox\image_77.png,8,Roblox
data\gameplay-images\Roblox\image_85.png,8,Roblox
data\gameplay-images\Forza Horizon\image_877.png,3,Forza Horizon
data\gameplay-images\Terraria\image_601.png,9,Terraria
data\gameplay-images\God of War\image_487.png,6,God of War
data\gameplay-images\Genshin Impact\image_507.png,5,Genshin Impact
data\gameplay-images\Terraria\image_809.png,9,Terraria
data\gameplay-images\Genshin Impact\image_715.png,5,Genshin Impact
data\gameplay-images\Roblox\image_161.png,8,Roblox
data\gameplay-images\Minecraft\image_735.png,7,Minecraft
data\gameplay-images\Among Us\image_819.png,0,Among Us
data\gameplay-images\Free Fire\image_133.png,4,Free Fire
data\gameplay-images\Apex Legends\image_273.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_100.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_539.png,5,Genshin Impact
data\gameplay-images\Among Us\image_295.png,0,Among Us
data\gameplay-images\Roblox\image_957.png,8,Roblox
data\gameplay-images\Roblox\image_982.png,8,Roblox
data\gameplay-images\Free Fire\image_188.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_156.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_468.png,7,Minecraft
data\gameplay-images\Fortnite\image_520.png,2,Fortnite
data\gameplay-images\Genshin Impact\image_721.png,5,Genshin Impact
data\gameplay-images\God of War\image_754.png,6,God of War
data\gameplay-images\Among Us\image_596.png,0,Among Us
data\gameplay-images\Among Us\image_297.png,0,Among Us
data\gameplay-images\Minecraft\image_457.png,7,Minecraft
data\gameplay-images\Terraria\image_41.png,9,Terraria
data\gameplay-images\Among Us\image_684.png,0,Among Us
data\gameplay-images\Minecraft\image_332.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_35.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_84.png,4,Free Fire
data\gameplay-images\Free Fire\image_861.png,4,Free Fire
data\gameplay-images\Minecraft\image_525.png,7,Minecraft
data\gameplay-images\God of War\image_279.png,6,God of War
data\gameplay-images\God of War\image_363.png,6,God of War
data\gameplay-images\Free Fire\image_39.png,4,Free Fire
data\gameplay-images\Roblox\image_573.png,8,Roblox
data\gameplay-images\Terraria\image_567.png,9,Terraria
data\gameplay-images\Roblox\image_894.png,8,Roblox
data\gameplay-images\God of War\image_897.png,6,God of War
data\gameplay-images\Genshin Impact\image_390.png,5,Genshin Impact
data\gameplay-images\Fortnite\image_64.png,2,Fortnite
data\gameplay-images\Apex Legends\image_498.png,1,Apex Legends
data\gameplay-images\God of War\image_280.png,6,God of War
data\gameplay-images\Terraria\image_839.png,9,Terraria
data\gameplay-images\Among Us\image_24.png,0,Among Us
data\gameplay-images\Apex Legends\image_124.png,1,Apex Legends
data\gameplay-images\Fortnite\image_380.png,2,Fortnite
data\gameplay-images\Terraria\image_380.png,9,Terraria
